publication_number,title,filing_date,grant_date,family_id,assignees,cpc_codes,domains,country,filing_year
CN-100339066-C,Stable injection compositions and methods,20001013,20070926,21741883,CAMBRIDGE BIOSTABILITY LTD,A61K9/10 | A61K9/14 | A61K9/00 | A61K9/1605 | A61K | A61K9/16 | A61K9/1617 | A61K9/0012 | A61K9/1623 | A61K9/0019,Pharmaceutical,China,2000
CN-100384436-C,Parenteral cisplatin emulsion,20000726,20080430,11080186,DAFTARY GAUTAM VINOD,A61K9/00 | A61K33/00 | A61P | A61K9/107 | A61P35/00 | A61K | A61K33/243 | A61K9/1075 | A61K33/24 | A61K9/10,Pharmaceutical,China,2000
CN-100387225-C,Tablet-making method of thickened system,20001215,20080514,26007833,HENKEL KGAA,A61K | A61K8/49 | A61K8/00 | A61K8/0216 | A61K8/02 | A61K8/30 | A61K8/4906 | A61K8/4926 | A61K8/18,Pharmaceutical,China,2000
CN-100400487-C,Glucocorticoid receptor modulators,20000327,20080709,22452621,PFIZER PROD INC,A61P37/00 | A61P3/08 | A61P11/02 | A61P3/10 | A61P43/00 | A61P27/16 | A61P3/04 | A61P5/38 | A61P3/00 | A61P29/00 | A61P27/00 | A61P19/02 | A61P5/00 | A61P25/28 | A61P37/02 | A61P5/14 | A61P | A61P11/06 | A61P25/24 | A61P25/22 | A61P19/00 | A61P5/44 | A61P25/00 | A61P11/00,Pharmaceutical,China,2000
CN-100417727-C,Treatment of alpha-galactosidase deficiency,20000309,20080910,23012821,TRANSKARYOTIC THERAPIES INC,A61P13/12 | A61P25/00 | A61K38/16 | A61K38/46 | A61K | A61P | A61P9/00 | A61P3/00 | A61K38/00 | A61P13/00 | A61K38/47 | A61K38/43 | A61P25/02 | A61P3/08,Pharmaceutical,China,2000
CN-100418527-C,Improved pharmaceutical formulations,20000525,20080917,23269615,ABBOTT LAB,A61K9/08 | A61P31/14 | A61K31/4725 | A61P31/18 | A61K31/00 | A61K31/425 | A61K9/00 | A61K31/496 | A61K9/48 | A61K31/63 | A61K9/4858 | A61K31/41 | A61P31/12 | A61P43/00 | A61K31/4427 | A61K | A61K31/5375 | A61K31/495 | A61K31/55 | A61K31/395 | A61K31/472 | A61K31/4709 | A61K31/47 | A61P31/00 | A61K9/4841 | A61K31/33 | A61K31/427 | A61K31/16 | A61K31/435 | A61K31/535 | A61P | A61K31/551 | A61K31/4433 | A61K31/17 | A61K31/44,Pharmaceutical,China,2000
CN-100523192-C,Vaccines from Infectious Agents,20000818,20090805,10859501,IMMUNOBIOLOGY LTD,A61P37/04 | A61K | A61P33/02 | A61P33/00 | A61P31/00 | A61P37/00 | A61K2039/6043 | A61K2039/60 | A61K39/0258 | A61P31/10 | A61K39/02 | A61P | A61K39/025 | A61K39/0275 | A61P37/02 | A61K39/00 | A61P31/04 | A61K2039/6031,Pharmaceutical,China,2000
CN-100551441-C,Compositions comprising Neisseria meningitidis serogroups B and C antigens and other antigens,20001129,20091021,10865363,CHIRON SPA,A61K2039/6031 | A61P37/02 | A61K2039/55505 | A61K2039/55511 | A61K39/116 | A61K2039/555 | A61K39/02 | A61K2039/55566 | A61K47/646 | A61K | A61P31/04 | A61K47/00 | A61P43/00 | A61K2039/6068 | A61K2039/6037 | A61P37/04 | A61K47/51 | A61P | A61P31/20 | A61K47/64 | A61K47/50 | A61K47/6415 | A61K47/62 | A61K2039/60 | A61P31/00 | A61P31/12 | A61P37/00 | A61K39/00 | A61K39/095,Pharmaceutical,China,2000
CN-100591328-C,Cosmetic compositions containing chick pea extract and retinoids,20001109,20100224,22600657,UNILEVER NL,A61K8/00 | A61P17/00 | A61K8/18 | A61K8/67 | A61K8/30 | A61P43/00 | A61K8/97 | A61K8/9783 | A61K8/9789 | A61P | A61K8/96 | A61K8/671 | A61K | A61P17/16,Pharmaceutical,China,2000
CN-1102674-C,An Improved Bearing Steel,20000309,20030305,20414792,OVAKO STEEL AB,C22C38/40 | C22 | C22C38/18 | C22C38/44 | C22C | C22C38/58 | C22C38/00,Metallurgy & Alloys,China,2000
CN-1103380-C,High-strength low-alloy heat-resistant steel,20000818,20030319,26530212,SUMITOMO METAL IND,C22C | C22C38/00 | C22C38/18 | C22C38/40 | C22C38/26 | C22C38/22 | C22C38/28 | C22 | C22C38/24 | C22C38/44,Metallurgy & Alloys,China,2000
CN-1142772-C,Lipophilic microparticles containing protein drug or antigen and preparations comprising the microparticles,20000114,20040324,26634599,LG CHEMICAL LTD,A61P5/50 | A61P31/04 | A61K9/48 | A61P31/16 | A61K9/107 | A61P31/00 | A61K38/212 | A61P31/06 | A61K9/16 | A61K39/39 | A61P5/00 | A61P31/20 | A61K9/50 | A61K9/14 | A61P31/14 | A61K38/00 | A61K9/00 | A61P5/48 | A61K9/1605 | A61P33/02 | A61P | A61P33/00 | A61K38/17 | A61K38/19 | A61K9/10 | A61K9/1652 | A61K9/5015 | A61P31/10 | A61K9/1658 | A61P31/12 | A61K9/5005 | A61K9/113 | A61K39/00 | A61K38/27 | A61K9/1629 | A61K | A61K38/16 | A61K38/22 | A61K38/21 | A61K9/1617,Pharmaceutical,China,2000
CN-1145612-C,"1-Aza-2-alkyl-6-aryl-cycloalkane compounds, processes for their preparation and pharmaceutical compositions containing them",20000430,20040414,9545153,ADIR,A61P25/28 | A61P25/00 | A61P29/00 | A61P | A61P25/04 | A61P43/00 | A61P25/14 | A61P25/16,Pharmaceutical,China,2000
